source_term,context,preferred_translation_note
Mortgage Planner,product name,Keep meaning consistent; product names may remain partly English if natural locally.
mortgage,home loan / property loan,Use the common local financial term, not a literal word if unnatural.
home loan,loan secured against a home,Use same terminology consistently with mortgage.
offset account,Australian mortgage offset account,Do not translate as generic savings account; explain as account reducing interest if needed.
redraw,Australian mortgage redraw facility,Use local explanatory wording if the target language has no direct equivalent.
repayment,loan payment,Use borrower-facing language.
interest rate,annual loan interest rate,Keep finance meaning; do not confuse with investment return.
amortization period,total period over which loan is repaid,Use mortgage/finance term; avoid casual “time”.
extra repayment,additional payment above required repayment,Use wording that clearly means voluntary extra payment.
one-off lump sum,single large payment,Use wording for one-time payment.
principal,loan balance excluding interest,Use finance term for principal amount.
payoff date,date loan is fully repaid,Use clear borrower-facing wording.
strategy,repayment strategy,Do not use military/political meaning.
donation,voluntary support payment,Use wording that is culturally natural.
Stripe,payment provider,Do not translate brand name.
PayPal,payment provider,Do not translate brand name.
Apple Pay,payment provider,Do not translate brand name.
